porowner,name,url,stars,contributors,commits_5_anos,default_branch
OthmanAdi,planning-with-files,https://github.com/OthmanAdi/planning-with-files,21935,35,236,master
ahujasid,blender-mcp,https://github.com/ahujasid/blender-mcp,21930,20,139,main
recommenders-team,recommenders,https://github.com/recommenders-team/recommenders,21717,147,2930,main
Skyvern-AI,skyvern,https://github.com/Skyvern-AI/skyvern,21707,87,4915,main
XiaoMi,ha_xiaomi_home,https://github.com/XiaoMi/ha_xiaomi_home,21696,37,267,main
goauthentik,authentik,https://github.com/goauthentik/authentik,21610,546,17168,main
huggingface,datasets,https://github.com/huggingface/datasets,21534,665,2648,main
verl-project,verl,https://github.com/verl-project/verl,21506,618,2537,main
airbytehq,airbyte,https://github.com/airbytehq/airbyte,21315,1202,44674,master
p-e-w,heretic,https://github.com/p-e-w/heretic,21272,24,158,master
FunAudioLLM,CosyVoice,https://github.com/FunAudioLLM/CosyVoice,21206,52,551,main
huggingface,peft,https://github.com/huggingface/peft,21184,300,1700,main
QwenLM,Qwen,https://github.com/QwenLM/Qwen,21177,34,517,main
RasaHQ,rasa,https://github.com/RasaHQ/rasa,21176,599,5489,3.6.x
marimo-team,marimo,https://github.com/marimo-team/marimo,21129,292,6118,main
Zeyi-Lin,HivisionIDPhotos,https://github.com/Zeyi-Lin/HivisionIDPhotos,21114,24,445,master
LiLittleCat,awesome-free-chatgpt,https://github.com/LiLittleCat/awesome-free-chatgpt,21080,21,375,main
1Panel-dev,MaxKB,https://github.com/1Panel-dev/MaxKB,21035,83,7044,v2
onnx,onnx,https://github.com/onnx/onnx,20872,392,2022,main
index-tts,index-tts,https://github.com/index-tts/index-tts,20704,22,232,main
netbox-community,netbox,https://github.com/netbox-community/netbox,20588,461,7841,main
HKUDS,RAG-Anything,https://github.com/HKUDS/RAG-Anything,20557,46,404,main
python,mypy,https://github.com/python/mypy,20443,855,4111,master
wagtail,wagtail,https://github.com/wagtail/wagtail,20331,1089,8606,main
w-okada,voice-changer,https://github.com/w-okada/voice-changer,20270,26,1754,master
facebook,prophet,https://github.com/facebook/prophet,20191,191,179,main
hugohe3,ppt-master,https://github.com/hugohe3/ppt-master,20160,9,666,main
Panniantong,Agent-Reach,https://github.com/Panniantong/Agent-Reach,20140,21,249,main
openai,gpt-oss,https://github.com/openai/gpt-oss,20117,64,128,main
google-research,timesfm,https://github.com/google-research/timesfm,20076,23,320,master
openai,skills,https://github.com/openai/skills,20069,34,110,main
nginx-proxy,nginx-proxy,https://github.com/nginx-proxy/nginx-proxy,19839,170,1006,main
google,adk-python,https://github.com/google/adk-python,19821,286,2706,main
camel-ai,owl,https://github.com/camel-ai/owl,19801,47,641,main
datalab-to,surya,https://github.com/datalab-to/surya,19766,18,960,master
Imbad0202,academic-research-skills,https://github.com/Imbad0202/academic-research-skills,19706,7,429,main
OpenBMB,VoxCPM,https://github.com/OpenBMB/VoxCPM,19654,27,144,main
akfamily,akshare,https://github.com/akfamily/akshare,19624,22,837,main
CloakHQ,CloakBrowser,https://github.com/CloakHQ/CloakBrowser,19557,16,175,main
kaixindelele,ChatPaper,https://github.com/kaixindelele/ChatPaper,19510,15,348,main
stitionai,devika,https://github.com/stitionai/devika,19508,47,186,main
fastapi,typer,https://github.com/fastapi/typer,19459,103,1344,master
chidiwilliams,buzz,https://github.com/chidiwilliams/buzz,19372,31,719,main
comet-ml,opik,https://github.com/comet-ml/opik,19360,125,5873,main
AIDC-AI,Pixelle-Video,https://github.com/AIDC-AI/Pixelle-Video,19356,17,347,main
SWE-agent,SWE-agent,https://github.com/SWE-agent/SWE-agent,19280,96,2158,main
joke2k,faker,https://github.com/joke2k/faker,19259,665,1579,master
agentskills,agentskills,https://github.com/agentskills/agentskills,19246,37,123,main
Avaiga,taipy,https://github.com/Avaiga/taipy,19221,96,7595,develop
RunaCapital,awesome-oss-alternatives,https://github.com/RunaCapital/awesome-oss-alternatives,19138,154,409,main
DrewThomasson,ebook2audiobook,https://github.com/DrewThomasson/ebook2audiobook,19010,35,14077,main
mxrch,GHunt,https://github.com/mxrch/GHunt,18972,37,142,master
kivy,kivy,https://github.com/kivy/kivy,18944,637,647,master
Alibaba-NLP,DeepResearch,https://github.com/Alibaba-NLP/DeepResearch,18943,30,300,main
ymcui,Chinese-LLaMA-Alpaca,https://github.com/ymcui/Chinese-LLaMA-Alpaca,18941,11,558,main
eosphoros-ai,DB-GPT,https://github.com/eosphoros-ai/DB-GPT,18822,184,3325,main
lss233,kirara-ai,https://github.com/lss233/kirara-ai,18759,49,1633,master
astral-sh,ty,https://github.com/astral-sh/ty,18725,44,487,main
spotify,luigi,https://github.com/spotify/luigi,18722,635,316,master
huggingface,sentence-transformers,https://github.com/huggingface/sentence-transformers,18715,262,1966,main
pyscript,pyscript,https://github.com/pyscript/pyscript,18689,127,1326,main
hummingbot,hummingbot,https://github.com/hummingbot/hummingbot,18649,311,17516,master
sanic-org,sanic,https://github.com/sanic-org/sanic,18638,369,471,main
HKUDS,AI-Trader,https://github.com/HKUDS/AI-Trader,18561,19,343,main
plotly,plotly.py,https://github.com/plotly/plotly.py,18548,321,3616,main
openai,evals,https://github.com/openai/evals,18522,442,691,main
huggingface,trl,https://github.com/huggingface/trl,18448,482,2797,main
KlingAIResearch,LivePortrait,https://github.com/KlingAIResearch/LivePortrait,18408,12,125,main
state-spaces,mamba,https://github.com/state-spaces/mamba,18292,55,226,main
mikf,gallery-dl,https://github.com/mikf/gallery-dl,18254,210,4982,master
emcie-co,parlant,https://github.com/emcie-co/parlant,18086,46,5476,develop
Evil0ctal,Douyin_TikTok_Download_API,https://github.com/Evil0ctal/Douyin_TikTok_Download_API,18018,24,1123,main
fastapi,sqlmodel,https://github.com/fastapi/sqlmodel,17972,112,1230,main
stas00,ml-engineering,https://github.com/stas00/ml-engineering,17970,49,1024,master
xming521,WeClone,https://github.com/xming521/WeClone,17939,12,440,master
arc53,DocsGPT,https://github.com/arc53/DocsGPT,17896,236,4757,main
smicallef,spiderfoot,https://github.com/smicallef/spiderfoot,17883,57,595,master
apple,ml-stable-diffusion,https://github.com/apple/ml-stable-diffusion,17852,40,127,main
fail2ban,fail2ban,https://github.com/fail2ban/fail2ban,17822,293,667,master
agent0ai,agent-zero,https://github.com/agent0ai/agent-zero,17779,52,2195,main
pytorch,vision,https://github.com/pytorch/vision,17692,684,2466,main
ActivityWatch,activitywatch,https://github.com/ActivityWatch/activitywatch,17647,32,395,master
jianchang512,pyvideotrans,https://github.com/jianchang512/pyvideotrans,17513,29,1212,main
pallets,click,https://github.com/pallets/click,17508,445,1270,main
topoteretes,cognee,https://github.com/topoteretes/cognee,17476,160,7577,main
dortania,OpenCore-Legacy-Patcher,https://github.com/dortania/OpenCore-Legacy-Patcher,17462,42,3166,main
MustardChef,WSABuilds,https://github.com/MustardChef/WSABuilds,17397,37,1476,master
allenai,olmocr,https://github.com/allenai/olmocr,17347,16,2126,main
tirth8205,code-review-graph,https://github.com/tirth8205/code-review-graph,17258,78,442,main
NVIDIA-NeMo,NeMo,https://github.com/NVIDIA-NeMo/NeMo,17253,491,5712,main
pydantic,pydantic-ai,https://github.com/pydantic/pydantic-ai,17242,452,2102,main
microsoft,agent-lightning,https://github.com/microsoft/agent-lightning,17212,31,255,main
ranger,ranger,https://github.com/ranger/ranger,17197,271,710,master
kvcache-ai,ktransformers,https://github.com/kvcache-ai/ktransformers,17190,115,1275,main
Huanshere,VideoLingo,https://github.com/Huanshere/VideoLingo,17130,19,969,main
google,magika,https://github.com/google/magika,17042,43,1745,main
camel-ai,camel,https://github.com/camel-ai/camel,17025,213,2209,master
aws,aws-cli,https://github.com/aws/aws-cli,16984,500,4561,develop
networkx,networkx,https://github.com/networkx/networkx,16938,832,1806,main
agentscope-ai,QwenPaw,https://github.com/agentscope-ai/QwenPaw,16903,164,1254,main
exaloop,codon,https://github.com/exaloop/codon,16782,21,955,develop
ipython,ipython,https://github.com/ipython/ipython,16705,1069,3359,main
rendercv,rendercv,https://github.com/rendercv/rendercv,16693,63,1961,main
caronc,apprise,https://github.com/caronc/apprise,16613,103,626,master
QwenLM,Qwen3-Coder,https://github.com/QwenLM/Qwen3-Coder,16549,35,353,main
suitenumerique,docs,https://github.com/suitenumerique/docs,16529,73,2096,main
AsyncFuncAI,deepwiki-open,https://github.com/AsyncFuncAI/deepwiki-open,16521,66,219,main
Free-TV,IPTV,https://github.com/Free-TV/IPTV,16443,104,1444,master
aio-libs,aiohttp,https://github.com/aio-libs/aiohttp,16441,839,5523,master
NVIDIA,Megatron-LM,https://github.com/NVIDIA/Megatron-LM,16431,338,7999,main
piskvorky,gensim,https://github.com/piskvorky/gensim,16417,464,392,develop
QwenLM,Qwen-Agent,https://github.com/QwenLM/Qwen-Agent,16385,35,304,main
laramies,theHarvester,https://github.com/laramies/theHarvester,16299,123,2068,master
modelscope,FunASR,https://github.com/modelscope/FunASR,16211,176,4934,main
raga-ai-hub,RagaAI-Catalyst,https://github.com/raga-ai-hub/RagaAI-Catalyst,16165,28,1095,main
flet-dev,flet,https://github.com/flet-dev/flet,16119,90,1431,main
langbot-app,LangBot,https://github.com/langbot-app/LangBot,16093,84,3533,master
tgbot-collection,YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,16083,8,368,master
Rapptz,discord.py,https://github.com/Rapptz/discord.py,16067,455,2293,master
alirezarezvani,claude-skills,https://github.com/alirezarezvani/claude-skills,16011,31,979,main
browser-use,web-ui,https://github.com/browser-use/web-ui,15992,57,450,main
MatrixTM,MHDDoS,https://github.com/MatrixTM/MHDDoS,15937,32,476,main
muratcankoylan,Agent-Skills-for-Context-Engineering,https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering,15907,10,162,main
wkentaro,labelme,https://github.com/wkentaro/labelme,15902,83,1583,main
cvat-ai,cvat,https://github.com/cvat-ai/cvat,15890,304,4031,develop
cft0808,edict,https://github.com/cft0808/edict,15847,17,149,main
zauberzeug,nicegui,https://github.com/zauberzeug/nicegui,15833,218,6437,main
jaakkopasanen,AutoEq,https://github.com/jaakkopasanen/AutoEq,15824,19,391,master
Kanaries,pygwalker,https://github.com/Kanaries/pygwalker,15804,27,637,main
pyecharts,pyecharts,https://github.com/pyecharts/pyecharts,15767,45,187,master
fortra,impacket,https://github.com/fortra/impacket,15746,306,819,master
HKUDS,DeepCode,https://github.com/HKUDS/DeepCode,15684,8,161,main
confident-ai,deepeval,https://github.com/confident-ai/deepeval,15655,288,9473,main
treeverse,dvc,https://github.com/treeverse/dvc,15622,331,2965,main
dagster-io,dagster,https://github.com/dagster-io/dagster,15562,675,19877,master
mindverse,Second-Me,https://github.com/mindverse/Second-Me,15543,35,186,master
microsoft,pyright,https://github.com/microsoft/pyright,15451,145,5030,main
